                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7323,                 2.1384,                    2.3,                 0.5327,                0.78654,                0.59453,                0.42707,                 1.0697,                 1.4731,                 1.6341,             0.00055531,             0.00055531,             0.00055531
                      2,                0.99701,                0.79718,                 1.4366,                0.68274,                 0.7559,                0.68303,                0.50864,                0.94896,                 1.1848,                 1.4235,               0.001056,               0.001056,               0.001056
                      3,                0.87833,                0.63246,                 1.3208,                0.63192,                0.68328,                0.60104,                0.44483,                0.90112,                 1.4339,                 1.3411,              0.0015016,              0.0015016,              0.0015016
                      4,                0.80802,                0.54792,                 1.2582,                0.62701,                0.77299,                0.67049,                0.52003,                0.87956,                 1.2815,                 1.2894,              0.0014195,              0.0014195,              0.0014195
                      5,                0.75382,                0.48956,                 1.2096,                0.62173,                 0.7015,                0.60668,                0.47182,                0.87097,                 1.5363,                 1.3201,              0.0014195,              0.0014195,              0.0014195
                      6,                0.71632,                0.44893,                 1.1763,                0.66825,                0.79935,                0.70857,                0.55388,                0.86189,                 1.2949,                 1.2436,              0.0013369,              0.0013369,              0.0013369
                      7,                 0.6862,                0.42265,                 1.1507,                0.67113,                0.72576,                0.67793,                0.52945,                0.86196,                 1.2435,                 1.2974,              0.0012544,              0.0012544,              0.0012544
                      8,                0.65909,                0.40058,                  1.129,                0.63318,                0.78704,                0.68315,                0.53879,                0.84853,                 1.3225,                   1.26,              0.0011719,              0.0011719,              0.0011719
                      9,                0.63917,                0.38025,                 1.1123,                0.68389,                0.76316,                 0.6845,                0.53202,                0.86929,                 1.2679,                 1.2698,              0.0010894,              0.0010894,              0.0010894
                     10,                0.61768,                0.36437,                 1.0953,                0.63949,                0.76296,                0.67123,                0.53511,                0.82244,                 1.4205,                 1.2364,              0.0010069,              0.0010069,              0.0010069
                     11,                0.52189,                0.28784,                 1.0246,                0.69132,                0.75349,                0.67613,                0.53378,                0.85276,                 1.4381,                 1.2752,             0.00092435,             0.00092435,             0.00092435
                     12,                0.49411,                0.26845,                0.99992,                0.69396,                0.77426,                0.70547,                0.55537,                0.84069,                 1.3213,                 1.2296,             0.00084184,             0.00084184,             0.00084184
                     13,                 0.4737,                0.25528,                0.98149,                0.69948,                0.73064,                0.65598,                0.51472,                0.85915,                 1.5668,                 1.2642,             0.00075932,             0.00075932,             0.00075932
                     14,                0.45592,                0.24114,                0.96735,                0.72763,                 0.7629,                0.72611,                0.57113,                0.84957,                 1.3422,                 1.2802,              0.0006768,              0.0006768,              0.0006768
                     15,                0.44109,                0.23287,                0.95561,                0.64025,                0.78275,                0.67475,                0.53055,                0.85929,                 1.6552,                 1.2567,             0.00059429,             0.00059429,             0.00059429
                     16,                0.42568,                0.22184,                 0.9481,                 0.6283,                0.74672,                0.65946,                0.51854,                0.86634,                 1.8941,                 1.2946,             0.00051177,             0.00051177,             0.00051177
                     17,                0.41159,                0.21402,                0.93435,                0.61889,                0.77196,                0.64163,                0.50207,                0.86838,                 1.8838,                 1.2663,             0.00042925,             0.00042925,             0.00042925
                     18,                0.39724,                0.20525,                0.92721,                0.61476,                0.75334,                0.61411,                0.48584,                0.85382,                 2.0121,                 1.2738,             0.00034674,             0.00034674,             0.00034674
                     19,                0.38256,                0.19828,                0.91643,                0.61434,                0.76216,                0.63379,                0.49853,                0.86555,                 1.8782,                 1.2653,             0.00026422,             0.00026422,             0.00026422
                     20,                0.37181,                0.19017,                0.90894,                0.62345,                0.75715,                0.63982,                0.50105,                0.86849,                 1.9599,                 1.2715,              0.0001817,              0.0001817,              0.0001817
